locality,ward
Ashok Nagar,Shanthala Nagar
MEG area,Shanthala Nagar
Elagondanapalya,Shanthala Nagar
KSRP quarters,Shanthala Nagar
Victoria Layout,Shanthala Nagar
Austin Town (P),Shanthala Nagar
Xavier Layout,Shanthala Nagar
Langford Gardens,Shanthala Nagar
Richmond Town (P),Shanthala Nagar
Indira Nagar,Dommalur
Dhupanahalli,Dommalur
Domlur,Dommalur
Domlur 1st Stage,Dommalur
Someshwarapura Layout,Dommalur
Cambridge layout,Agaram
Jeevan Kendra Layout,Agaram
Goutampuram,Agaram
Defence Area,Agaram
Agram farm,Agaram
Jayaraj Nagar,Agaram
Victoria Layout,Agaram
Maya Bazar,Agaram
Police quarters,Agaram
BDA flats,Agaram
Sonenahalli,Vannarpet
Vannarpet,Vannarpet
Viveknagar,Vannarpet
Ambedkar Nagar,Vannarpet
Austin Town (P),Vannarpet
Abbayya Garden,Vannarpet
Rose Garden,Vannarpet
Muniyamma Garden,Vannarpet
EWS Corporation flats (P),Vannarpet
Yerrappa Garden (P),Vannarpet
Nilasandra,Neelasandra
Anepalya (P),Neelasandra
Dr. Ambedkar Nagar,Neelasandra
Muniswamy garden (P),Neelasandra
Munigowda garden,Neelasandra
EWS Corporation flats (P),Neelasandra
Shanthi Nagar,Shanthi Nagar
Richmond Town (P),Shanthi Nagar
Langford Town,Shanthi Nagar
Anepalya (P),Shanthi Nagar
Vinayaka Nagar,Shanthi Nagar
KSRTC quarters (P),Shanthi Nagar
B & C Colony,Shanthi Nagar
Lakshminyamma Garden,Shanthi Nagar
Jalakanteshwara Nagara,Shanthi Nagar
Muniswamy Garden (P),Shanthi Nagar
Akkitimmanahalli,Shanthi Nagar
Rajappa Block,Ramaswamy Palya
Kemapaiah block,Ramaswamy Palya
Gundappa Garden,Ramaswamy Palya
Anjanappa Garden,Ramaswamy Palya
Narayana block,Ramaswamy Palya
Anchappa Garden,Ramaswamy Palya
Marappa Garden,Ramaswamy Palya
Muddamma Garden,Ramaswamy Palya
Krishnappa Garden,Ramaswamy Palya
Chinnappa Garden,Ramaswamy Palya
Ramaswamy Palya,Ramaswamy Palya
Jayamahal Extension,Jayamahal
Railway Qrts,Jayamahal
Sultangunta,Jayamahal
Swamy Shivanandapuram (Taskar town),Jayamahal
Balappa Garden,Jayamahal
Halsoor,Ulsoor
Gupta Layout,Ulsoor
Halsoor lake,Ulsoor
Sivan chetty garden spot,Ulsoor
Bharathi Nagar,Bharathi Nagar
Sivan Chetty Garden,Bharathi Nagar
Tandaram Nagar,Bharathi Nagar
Sultan Nagar,Shivaji Nagar
Old Karacha Palya,Shivaji Nagar
Shivaji Nagar (P),Shivaji Nagar
Kumarapark East,Vasanth Nagar
Vasanth Nagar,Vasanth Nagar
RV Layout,Vasanth Nagar
Annayappa block,Vasanth Nagar
Kaverappa Layout,Vasanth Nagar
Sampangiram Nagar,Sampangiram Nagar
Police quarters,Sampangiram Nagar
Sampangiram Nagar extension,Sampangiram Nagar
Cubbon Park,Sampangiram Nagar
Vidhana Soudha,Sampangiram Nagar
Shivaji Nagar (P),Sampangiram Nagar
Commercial Street,Sampangiram Nagar
Nagreshwara Nagenahalli,Horamavu
Kottnur,Horamavu
K. Naraynapura,Horamavu
Geddalahalli,Horamavu
Amani Byrathikhana,Horamavu
Horamavu Agara,Horamavu
Chalkere,Horamavu
Horamavu,Horamavu
Banjara residency,Horamavu
Horamavu,Horamavu
Agara Kere,Horamavu
Jyanthi Nagar,Horamavu
Asirwada Colony,Horamavu
M. Vishveswaraiah Nagara,Horamavu
Ragavendra Nagara,Horamavu
Muneshwara Nagar,Horamavu
Yerrayana Palya,Horamavu
Bovi Colony,Horamavu
Rammurthy Nagara,Horamavu
BSV Reddy Layout,Horamavu
Apparao Layout,Horamavu
Dassappa Layout,Horamavu
Krishnareddy Layout,Horamavu
Pappamma Layout,Horamavu
Mukkutam Nagara,Horamavu
Vigneshwara Layout,Horamavu
Ramaiah Layout,Horamavu
Kalumantapa,Horamavu
Munireddy Layout,Horamavu
Nandanam Colony,Horamavu
Anjannappa Layout,Horamavu
Nanjappa Garden,Horamavu
Bank Avenue,Horamavu
Babu Sahib Palya,Horamavu
Vijaylakshmi Colony,Horamavu
Kyalasanahalli,Horamavu
Entire Kalkere Tank,Horamavu
Kalkere,Ramamurthy Nagar
K. Channasandra,Ramamurthy Nagar
Kanakanagara,Ramamurthy Nagar
Akshya Nagara,Ramamurthy Nagar
Dr. Ambedkar Nagar,Ramamurthy Nagar
Manjunath Layout,Ramamurthy Nagar
Chandravadana Layout,Ramamurthy Nagar
Ragavendra Extention,Ramamurthy Nagar
M. Vishveswaraiah Nagar,Ramamurthy Nagar
Kaudenahalli,Ramamurthy Nagar
Ramamurthy Nagar (P),Ramamurthy Nagar
Kamalamma Layout,Vijinapura
Kodanda Reddy Layout,Vijinapura
Manjunath Layout,Vijinapura
Banasavadi BDA Layout,Vijinapura
Gurumurthy Reddy Layout,Vijinapura
Nagappa Reddy Layout,Vijinapura
Kuvempu Nagar,Vijinapura
Subramanya Layout,Vijinapura
Rajarajeswari Layout,Vijinapura
Jyothi Nagar,Vijinapura
N R Layout,Vijinapura
Kotturu,Vijinapura
Vijnapura,Vijinapura
Chandrasekhar Layout,Vijinapura
ITI Employees Housing Colony,Vijinapura
Food Corporation of India,Vijinapura
Krishnarajapura,K.R.Puram
Hosa Basavanapura,K.R.Puram
ITI North Colony (P),K.R.Puram
Gangadhara kere,K.R.Puram
Vangayyana kere,K.R.Puram
Devasandra Extension,Basavanapura
Hale Devasandra,Basavanapura
NorthGokul Extension,Basavanapura
Chikka Basavanapura,Basavanapura
Basavanapura,Basavanapura
Shigehalli,Basavanapura
Bharathi Nagar,Basavanapura
EastSwathnta Nagar,Basavanapura
Yellamallappa Chetty kere,Basavanapura
Duravani Nagar,Devasandra
ITI Colony (P),Devasandra
Devasandra,Devasandra
J C Layout,Devasandra
Roshan Nagar,Devasandra
Railway Colony,Devasandra
Devasandra Industrial Area,Devasandra
Singayyana Palya,Devasandra
Badavala Colony,Devasandra
B Narayanapura,Devasandra
Ramakrishna Reddy Layout,Devasandra
Jyothipuram,A.Narayanapura
Mahadevapura,A.Narayanapura
A Narayanpura,A.Narayanapura
Pai Layout,A.Narayanapura
Uday Nagar,A.Narayanapura
Defence Accountant Employee Layout,A.Narayanapura
ITI Employee Housing Colony,A.Narayanapura
A Narayanapura Extn.,A.Narayanapura
Chinnappa Colony,A.Narayanapura
Mahadevapura,Vignana Nagar
DRDO�s 2nd Phase,Vignana Nagar
Vijnanagar,Vignana Nagar
Ramaiah Reddy Colony,Vignana Nagar
L N Reddy Colony,Vignana Nagar
Veerabadra Colony,Vignana Nagar
Kalappa Layout,Vignana Nagar
Basavanagar,Vignana Nagar
Vibhuthipura,Vignana Nagar
Talacauverynagar,Vignana Nagar
Veerabhadranagar 2nd Stage,Vignana Nagar
Lal Bhadur Shastrynagar,Vignana Nagar
Jagadishnagar,Vignana Nagar
Jyothinagar,Vignana Nagar
Brudavan Nagar,Vignana Nagar
Nellurupuram,HAL Airport
Vimanapura,HAL Airport
HAL Layout,HAL Airport
Islampur,HAL Airport
Annasandrapalya,HAL Airport
Krishna nagar,HAL Airport
Vinayak nagar,HAL Airport
Ramesh nagar,HAL Airport
HAL Airport,HAL Airport
Part I: Byrathi village,Hoodi
Part II: Bilishivale village,Hoodi
Part III: Varanasi village,Hoodi
Part IV: Ayyappa Nagar,Hoodi
Gangotri Layout,Hoodi
Anurag Layout,Hoodi
Kodagehalli,Hoodi
Basireddy Layout,Hoodi
Srivari Layout,Hoodi
NRI Layout (Varanashi),Hoodi
Chikkmaraiah Layout,Hoodi
NAL South Layout,Hoodi
Asha Layout,Hoodi
Kuvempu Layout,Hoodi
Singhs Colony,Hoodi
Ganga Nagar,Hoodi
Saketh Nagar,Hoodi
SJR Eternity Layout,Hoodi
Kumbena Agrahara,Hoodi
Belathur,Hoodi
Belathur Colony,Hoodi
Sathya Sai Colony Sadarmangala,Hoodi
Mahadevapura Industrial Area,Hoodi
Hudi (P),Hoodi
Tigalarapalya,Hoodi
ITPL,Hoodi
Kodagehalli Kere (Boundary described for Part IV),Hoodi
Mahadevapura,Garudacharpalya
Maheshswari Nagar,Garudacharpalya
Kaveri nagar,Garudacharpalya
RHB Colony,Garudacharpalya
Purvankara Layout,Garudacharpalya
Garudachar playa,Garudacharpalya
Muniswamappa Layout,Garudacharpalya
KSSIDC Industrial Estate,Garudacharpalya
KEB colony,Garudacharpalya
Maruthi Industrial Estate,Garudacharpalya
Siddaramapalya,Garudacharpalya
Basavanna Nagar,Garudacharpalya
Shetty Layout,Garudacharpalya
KIADB Export Promotion Industrial Area,Garudacharpalya
Whitefield (P),Garudacharpalya
Panatthur Agrahara,Garudacharpalya
Hudi (P),Garudacharpalya
Maruthi Nagar,Garudacharpalya
Channasandra,Kadugudi
Kadugodi Plantation,Kadugudi
Maruthopu,Kadugudi
Kadugodi,Kadugudi
Subbanna extension,Kadugudi
Vijayalakshmi colony,Kadugudi
Siddarth Layout,Kadugudi
Patallama layout,Kadugudi
VR reddy colony,Kadugudi
Muniswamy layout,Kadugudi
Sri Sai layout,Kadugudi
FCI Staff Quarters,Kadugudi
FCI,Kadugudi
Nanjappa Reddy layout,Kadugudi
AK Gopalan colony,Kadugudi
Kadugodi Industrial Area,Kadugudi
Kadugodi Colony,Kadugudi
Police Quarters,Kadugudi
VS reddy Colony,Kadugudi
Prashanth Extension,Kadugudi
Mythri Extension,Kadugudi
Ambedkar Nagar,Kadugudi
Siddapura,Hagadooru
Nallurhalli,Hagadooru
Nallurhalli Kere,Hagadooru
Dodsworth Layout,Hagadooru
Whitefield (P),Hagadooru
ECC Layout,Hagadooru
Hagadur,Hagadooru
Ramagondanahalli,Hagadooru
Narayanapura,Hagadooru
Kodi,Hagadooru
Vijayanagar,Hagadooru
Gandhipuram,Hagadooru
Vinayaka Layout,Hagadooru
Sathya sai layout,Hagadooru
D Souja layout,Hagadooru
Byrappa layout,Hagadooru
Hagadur colony,Hagadooru
Vinayaka nagar,Hagadooru
Immadahalli,Hagadooru
Nagondahalli,Hagadooru
Ashreya Layout,Doddanekkundi
Dodda Nekkundi Industrial Estate,Doddanekkundi
Vishveshwaraiah Industrial estate,Doddanekkundi
ferns City,Doddanekkundi
Dodda Nekkundi,Doddanekkundi
Dodda Nekkundi kere,Doddanekkundi
Chinnappa Reddy layout,Doddanekkundi
HAL East Extension,Doddanekkundi
Jawaharnagar Sector 4,Doddanekkundi
Hemanth Nagar (Chinnappanahalli Ext),Doddanekkundi
ISRO Layout,Doddanekkundi
Karthik Nagar,Doddanekkundi
LRDE Employees Housing Colony,Doddanekkundi
NC Munireddy Layout,Doddanekkundi
Dodda Nekkundi Ext,Doddanekkundi
Hanumareddy Layout,Doddanekkundi
Channappanahalli,Doddanekkundi
AECS Layout - A -B -C -D -E Blocks,Doddanekkundi
Kundalahalli Colony,Doddanekkundi
Kundalahalli,Doddanekkundi
Kundalahalli kere,Doddanekkundi
Annayareddy Layout,Doddanekkundi
Tubarahalli,Doddanekkundi
Tigalarapalya,Doddanekkundi
BEML Layout,Doddanekkundi
Marattahalli Yemalur,Marathalli
Marathahalli extension,Marathalli
Ashwath Nagar,Marathalli
Sanjay Nagar,Marathalli
Ramanjenaya Layout,Marathalli
Anand Nagar,Marathalli
Anand Layout,Marathalli
Chikka Belanduru,Varthur
Gunjuru,Varthur
Pannathur,Varthur
Varthuru,Varthur
Surhunise,Varthur
Khanekandaya,Varthur
Belanduru Amanikere,Varthur
Balagere,Varthur
Gunjuru Palya,Varthur
Ramaswamy Layout,Varthur
Ambedkar Colony,Varthur
Patil Layout,Varthur
Thimmappa Reddy layout,Varthur
Manjunath Layout,Varthur
Madhura Nagar,Varthur
Varthuru Kere,Varthur
Narayanappa Layout,Varthur
Arasahalli,Varthur
Gandhi Nagar,Varthur
Lakshmi Layout,Varthur
Raghavendra Layout,Varthur
Rajashree Layout,Varthur
Muneshwara Layout,Varthur
Venkateshwara Layout,Varthur
Shiradi Sai Nagar (P),Varthur
Manjunatha Layout,Varthur
Munekollal,Varthur
Green Glen layout,Bellandur
Annaiah Layout,Bellandur
Haraluru,Bellandur
Kaikondahalli,Bellandur
Gayatri Layout,Bellandur
CSB Layout,Bellandur
Blooming Dale layout,Bellandur
KPCL Layout,Bellandur
Jayaramareddy Layout,Bellandur
Junnasandra,Bellandur
Dodda Kannalli,Bellandur
Owner�s Court Layout,Bellandur
Bovi Colony,Bellandur
Amruth Nagar,Bellandur
Eastwood Layout,Bellandur
Royal Classic Layout,Bellandur
Lake view layout,Bellandur
Kasavanahalli,Bellandur
Ambalipura,Bellandur
Bhoganahalli,Bellandur
Devarabeesanahalli,Bellandur
Bellanduru,Bellandur
Kariammana Agrahara,Bellandur
Kadubeesanahalli,Bellandur
Ayyappa nagar,Bellandur
PB Layout,Bellandur
Manjunatha Layout,Bellandur
CKB Layout,Bellandur
Veerappa reddy Layout,Bellandur
Bora reddy Layout,Bellandur
Shantiniketana Layout,Bellandur
Patel Layout,Bellandur
Vinayaka Layout,Bellandur
KPTCL Layout,Bellandur
Janatha Colony,Bellandur
Doddakannali kere,Bellandur
Challaghatta,Bellandur
Belur Nagasandra,Bellandur
BWSSB Quarters,Bellandur
Ambedkar Colony (Belur Nagasandra),Bellandur
Kempapura,Bellandur
Bellandur Tank,Bellandur
Muneshwara Nagar,H.M.T
Yashwanthpur Industrial Area,H.M.T
Platinum City,H.M.T
Netaji Nagar,H.M.T
Peenya,H.M.T
Peenya Industrial Area II Phase,H.M.T
CMTI Quarters,H.M.T
Civil Engineers Quarters,H.M.T
Gurguntepalya (P),H.M.T
Goragunte playa (P),Lakshmidevi Nagar
Lakshmidevi Nagar,Lakshmidevi Nagar
Kempamma Layout,Lakshmidevi Nagar
Kaveri Nagar,Lakshmidevi Nagar
Nandini Layout I Stage,Lakshmidevi Nagar
Narasimha Layout,Lakshmidevi Nagar
Yeshwanthpur Industrial Suburb (P),Lakshmidevi Nagar
Jenakal Siddeshwara Nagar,Lakshmidevi Nagar
HMT staff quarters,Jalahalli
Jalahalli,Jalahalli
BEL quarters,Jalahalli
Khatha Nagar,Jalahalli
Siddarth Nagar,Jalahalli
Ayyappa Nagar,Jalahalli
Poornappa Garden,J.P.Park
Sundar Nagar,J.P.Park
Gokul Extension,J.P.Park
Badappa Garden,J.P.Park
Muthyalamma Nagar,J.P.Park
Tannirahalli,J.P.Park
Matthikere kere (J P Park),J.P.Park
SBM Colony,J.P.Park
Brindavan Nagar,J.P.Park
Mohan Kumar Nagar,J.P.Park
HMT Layout,J.P.Park
Yeshwanthpura,Yeshwanthpur
Gurumurthy Layout,Yeshwanthpur
Kamala Nehru Extn,Yeshwanthpur
GK Colony,Yeshwanthpur
LN Colony,Yeshwanthpur
Dr.Ambedkar Nagar,Yeshwanthpur
Railway Qtrs,Yeshwanthpur
Pampa Nagar,Yeshwanthpur
LIC Colony,Yeshwanthpur
BK Nagar,Yeshwanthpur
Preethi Nagar,Laggere
Vidhana Soudha Layout,Laggere
Freedom Fighters Colony,Laggere
Laggere,Laggere
Narashima Murthy Nagar,Laggere
LG Ramanna Colony Muneshwara Nagar,Laggere
Rajeshwari Nagar,Laggere
Rajiva Gandhi Nagar,Laggere
Kempegowda Nagara (P),Kottigepalya
Kempegowda Layout (P),Kottigepalya
Choudeshwari Nagar,Kottigepalya
Premnagar,Kottigepalya
Sreenivas Nagar,Kottigepalya
Sunkadakatte,Kottigepalya
AshwathNagar,Kottigepalya
Muktharayaswamy Layout,Kottigepalya
TelephoneEmployees Layout,Kottigepalya
Beggars Colony,Kottigepalya
Rudeshwara Nagar,Kottigepalya
Narasimharaja Palya,Kottigepalya
Sajjepalya,Kottigepalya
Kottegepalya,Kottigepalya
Nagarbavi 2nd Stage 1st - 3rd - 5th - 7th - 8th -9th - 10th - 11th Block,Kottigepalya
Krishnanda Nagar,Kottigepalya
Malegalu,Kottigepalya
IncomeTax Layout,Kottigepalya
Marilingappa Extn,Kottigepalya
Vinayaka Layout,Kottigepalya
Srighanda Nagar (P),Kottigepalya
Bhairaveswara Layout,Jnanabharathi
Hanumantha Nagar,Jnanabharathi
Sunkadakatte,Jnanabharathi
Basaveshwara Nagar,Jnanabharathi
Annapurneswari Nagar,Jnanabharathi
Durgaparameswari Layout,Jnanabharathi
Rajiv Gandhi Nagar,Jnanabharathi
Nagarbavi 2nd Stage 2nd -6th -12th Blocks,Jnanabharathi
Veeranapalya,Jnanabharathi
Narsapura,Jnanabharathi
Arogya Layout,Jnanabharathi
Obarappa Layout,Jnanabharathi
Pappreddy Palya,Jnanabharathi
Gowramma Layout,Jnanabharathi
Chandrashekar Layout,Jnanabharathi
Vishveswaraiah Layout 9th Block,Jnanabharathi
KHDS Layout,Jnanabharathi
Kadukudere Layout,Jnanabharathi
ITI Employees Layout,Jnanabharathi
MPM Layout,Jnanabharathi
Kengunta,Jnanabharathi
Malathalli,Jnanabharathi
NGEF HBCS Layout,Jnanabharathi
HMT Layout,Jnanabharathi
Railway Layout,Jnanabharathi
Jnanajyothi Nagar,Jnanabharathi
Balaji Layout,Jnanabharathi
NGEF Layout,Jnanabharathi
Sri Hari Layout,Jnanabharathi
Ganganagar,Jnanabharathi
Tubsamma Layout,Jnanabharathi
Bavani Nagar Layout,Jnanabharathi
Munneswar Nagar,Jnanabharathi
Annapurneswari Layout,Jnanabharathi
Govt. Press Layout,Jnanabharathi
Jnanaganga Layout,Jnanabharathi
Jnana Barathi (Bangalore University),Jnanabharathi
Sapthagiri Layout,Jnanabharathi
Forest Layout,Jnanabharathi
Pramod House Building Society,Rajarajeshwari Nagar
Puspagiri Nagar,Rajarajeshwari Nagar
Bagegowda Layout,Rajarajeshwari Nagar
P S Reddy Layout,Rajarajeshwari Nagar
P G D�souza Layout,Rajarajeshwari Nagar
Muneswara Nagar,Rajarajeshwari Nagar
Sharad D�souza Layout,Rajarajeshwari Nagar
Javarayanadoddi,Rajarajeshwari Nagar
Suryavanshi Layout,Rajarajeshwari Nagar
Rajarajeshwari Nagar 2nd stage,Rajarajeshwari Nagar
Kenchanahalli,Rajarajeshwari Nagar
BHEL Layout,Rajarajeshwari Nagar
Ideal Homes,Rajarajeshwari Nagar
Bangarappa Nagar,Rajarajeshwari Nagar
Durga Nagar,Rajarajeshwari Nagar
Gurudatha Layout,Rajarajeshwari Nagar
Sapthagiri Layout,Rajarajeshwari Nagar
Haridas Nagar,Rajarajeshwari Nagar
Gottigere Layout,Rajarajeshwari Nagar
Sudarshan Layout,Rajarajeshwari Nagar
Gottigere,Rajarajeshwari Nagar
Halage Vaderahalli,Rajarajeshwari Nagar
Shivanna Layout,Rajarajeshwari Nagar
M G Layout,Rajarajeshwari Nagar
Papayya Layout,Rajarajeshwari Nagar
Durga Parameshwari Layout,Rajarajeshwari Nagar
RR Nagar 5th Stage,Rajarajeshwari Nagar
RR Nagar 3rd stage,Rajarajeshwari Nagar
BEML Layout,Rajarajeshwari Nagar
Basaveshwara Layout,Rajarajeshwari Nagar
Sudarshana Layout,Rajarajeshwari Nagar
Panchasheela Nagar,Rajarajeshwari Nagar
University Layout,Rajarajeshwari Nagar
Kalegowda Layout,Rajarajeshwari Nagar
Nandadeep Layout,Rajarajeshwari Nagar
Sachidanand Nagar,Rajarajeshwari Nagar
Channasandra Layout,Rajarajeshwari Nagar
Channasandra,Rajarajeshwari Nagar
Bharat Housing Society layout (P),Rajarajeshwari Nagar
Happy Valley Layout (P),Rajarajeshwari Nagar
Raja Gardenia (P),Rajarajeshwari Nagar
Hosakerehalli kere,Rajarajeshwari Nagar
Halage Vaderahalli Kere,Rajarajeshwari Nagar
Vishveshweraiah Nagar 6th Block,Ullalu
Ambedkar Nagar,Ullalu
Ullalu Upanagar,Ullalu
Upakar Layout,Ullalu
SMV 5th Block,Ullalu
SMV 4th Block,Ullalu
AGS Layout,Ullalu
SMV 3rd Block,Ullalu
Vinayaka Layout,Ullalu
Ghavipuram HBCS Layout,Ullalu
Jnanabharati Layout 2nd Stage,Ullalu
KPSC Layout,Ullalu
Subash Nagar,Ullalu
Jagajothi Nagar,Ullalu
Bhuvaneshwari Nagar,Ullalu
Mariyappanpalya,Ullalu
Kalyan Housing Society Layout,Ullalu
RR Layout,Ullalu
Nagadevanahalli,Ullalu
Doddagollarhatti,Ullalu
Maruthi Nagar,Ullalu
SMV 1st Block,Ullalu
Sonnenahalli,Ullalu
Oddarapalya,Ullalu
Kengeri Satellite Town 3rd Stage (P),Ullalu
Panthar Palya,Ullalu
Classic County Layout,Kengeri
Gandhi Nagar,Kengeri
Kengeri Satellite Town,Kengeri
Vishveshwraiah Nagar,Kengeri
Basaweshwar Layout,Kengeri
Oddarahalli,Kengeri
Sri Kanteshwar Layout,Kengeri
Kengeri Satellite Town 3rd Stage (P),Kengeri
Krishnappa Garden,Kengeri
Volagarahalli,Kengeri
Muddanna Garden,Kengeri
Harsha Layout,Kengeri
Kengeri,Kengeri
Babasaheb Layout,Kengeri
BSM Extension,Kengeri
Part I: Existing RR Nagar CMC ward No. 19,Hemmigepura
Part II: Kengeri Upanagar (P),Hemmigepura
BEML Layout,Hemmigepura
Mailsandra,Hemmigepura
BHEL Layout,Hemmigepura
Patanagere,Hemmigepura
Remco Housing Society,Hemmigepura
BHEL 2nd Stage,Hemmigepura
Sri Krishna Garden,Hemmigepura
BEML Layout 7th Stage,Hemmigepura
Kodipalya,Hemmigepura
Sunkalpalya,Hemmigepura
Srinivaspur,Hemmigepura
BSK 6th Stage 11th Block,Hemmigepura
Meenakshi Residency Layout,Hemmigepura
Annapurneshwari Layout,Hemmigepura
BSK 6th Stage 9th And 10th Block,Hemmigepura
BSK 6th Stage 2nd Block,Hemmigepura
BSK 6th Stage 7th Block,Hemmigepura
Omkar Layout,Hemmigepura
BSK 6th Stage 4th Block,Hemmigepura
Aditya Layout,Hemmigepura
Sunilmitra Layout,Hemmigepura
Sri Balgi Layout,Hemmigepura
BCMEHS Layout,Hemmigepura
Bank Officers Layout,Hemmigepura
BCMC Layout,Hemmigepura
Vajrahalli,Hemmigepura
BCC Layout,Hemmigepura
Pearl Garden,Hemmigepura
Paramount Garden,Hemmigepura
Thalghattapura,Hemmigepura
Judicial Layout 2nd Stage,Hemmigepura
Hemegepura,Hemmigepura
Ganakal,Hemmigepura
Hosahalli,Hemmigepura
Lingadheeranahalli,Hemmigepura
Raguvanahalli,Hemmigepura
Somapura,Hemmigepura
Varahasandra,Hemmigepura
UM Kaval (P),Hemmigepura
Channanayakanahalli,Dodda Bidarkallu
Jagannatha Rao Layout,Dodda Bidarkallu
Gopalappa Layout,Dodda Bidarkallu
Maranna Narayanappa Layout,Dodda Bidarkallu
Lingadeeranahalli,Dodda Bidarkallu
Siddartha Layout,Dodda Bidarkallu
Tippenahalli,Dodda Bidarkallu
Suvarna Nagar,Dodda Bidarkallu
Wipro Layout,Dodda Bidarkallu
Gruhalakshmi Housing Colony (P),Dodda Bidarkallu
Indranagar,Dodda Bidarkallu
Nagasandra,Dodda Bidarkallu
Residential Layout,Dodda Bidarkallu
Proposed Inregreted Layout,Dodda Bidarkallu
Karibanahalli,Dodda Bidarkallu
Tigalara Palya,Dodda Bidarkallu
Mubarak Nagar,Dodda Bidarkallu
Vaddara Palya,Dodda Bidarkallu
Raghavendra Nagar,Dodda Bidarkallu
Maruthi Nagar IV Phase,Dodda Bidarkallu
Kalki Nagar,Dodda Bidarkallu
Handrihalli,Dodda Bidarkallu
Vidhyamana Nagara,Dodda Bidarkallu
Doddanna Layout,Dodda Bidarkallu
Class D Employees Housing Layout,Dodda Bidarkallu
Hosahalli G Palya,Dodda Bidarkallu
Sri Ramanagaiah Layout,Dodda Bidarkallu
D Group Layout I Stage,Dodda Bidarkallu
Congress Chikkanna Layout,Dodda Bidarkallu
Doddabedrakallu,Dodda Bidarkallu
Sapthagiri Layout,Dodda Bidarkallu
Horanadu Annapoorneshwari Layout,Herohalli
Nagaravale Nagar,Herohalli
Janapriya Nagar,Herohalli
SBI colony,Herohalli
Mahadeshwara Nagar,Herohalli
KSRTC Layout,Herohalli
Muddeshwara Layout,Herohalli
Venkateshwara Layout,Herohalli
Syndicate Bank Housing Society Layout,Herohalli
Herohalli,Herohalli
L and T Layout,Herohalli
Anjana Nagar,Herohalli
Byadarahalli,Herohalli
Bharath Nagar I Phase,Herohalli
BEL Layout I Stage,Herohalli
SMV Layout,Herohalli
BEL Layout II Phase,Herohalli
Bharath Nagar II Phase,Herohalli
SMV VI and VII block,Herohalli
Janatha colony,Herohalli
Vishveshwaraiah Layout,Herohalli
SMV Layout 8th Phase,Herohalli
Gidada Konenahalli,Herohalli
Byraweshwara Nagar,Herohalli
SMV Layout Nagar,Herohalli
Janapriya Apartment,Herohalli
Basavanagudi (P),Basavangudi
N R Colony,Basavangudi
Tata Silk Farm,Basavangudi
Tyagaraja Nagar,Basavangudi
Brindavana Nagar,Hanumantha Nagar
Gavipuram extension,Hanumantha Nagar
Gavipuram,Hanumantha Nagar
Hanumath Nagar (P),Hanumantha Nagar
Deer Park,Hanumantha Nagar
Kempambudhi Kere,Hanumantha Nagar
Harishta Nagar,Sri Nagar
Kalidasa Nagar,Sri Nagar
Pipeline Weaver�s colony,Sri Nagar
Banashankari 1st Stage,Sri Nagar
Muneshwara block,Sri Nagar
Kallappa block,Sri Nagar
Srinagar,Sri Nagar
Dasarahalli (P),Sri Nagar
Dasarahalli south block,Sri Nagar
Nagendra block,Sri Nagar
SBM colony,Sri Nagar
Girinagar 1st and 2nd phases,Giri Nagar
Writers colony,Giri Nagar
Dasarahalli (P),Giri Nagar
Nagendra block,Giri Nagar
Srinivasanagar (P),Giri Nagar
Banasankari 3rd Stage - 3rd and 5th blocks,Giri Nagar
Hosakerehalli Layout,Giri Nagar
Srinivasanagar (P),Katriguppe
Siddhi Vinayaka Housing colony,Katriguppe
Vivekananda Nagar,Katriguppe
Poorna Prajna Housing Layout,Katriguppe
Banasankari 3rd Stage � 4th 6th and 8th blocks,Katriguppe
Kathriguppe,Katriguppe
Siddarth Layout,Katriguppe
Hanumath Nagar (P),Vidyapeetha
Banasankari 1st stage,Vidyapeetha
Ashok Nagar,Vidyapeetha
Srinivasanagar (P),Vidyapeetha
Gururaja Layout,Vidyapeetha
Banasankari 3rd stage - 6th block,Vidyapeetha
Chennamma kere Layout,Vidyapeetha
Pothulappa Garden,Lakkasandra
Eramma Layout,Lakkasandra
MICO Area,Lakkasandra
Adugodi (P),Lakkasandra
Pukaraj Layout,Lakkasandra
Nanjappa Layout,Lakkasandra
Rangadasappa Layout,Lakkasandra
Govardhan Nagar,Lakkasandra
Chandrappa Nagar,Lakkasandra
Lakasandra,Lakkasandra
Sattar Layout,Lakkasandra
Lalji Nagar,Lakkasandra
V K Rangaswamy Layout,Lakkasandra
Sampangi Ram Nagar,Lakkasandra
NIMHANS Staff Quarters,Lakkasandra
Mahalingeshwar Layout,Lakkasandra
KMF Area,Lakkasandra
Chikkalakshmaiah Layout,Lakkasandra
Gupta Layout (P),Lakkasandra
Rajendra Nagar,Adugodi
Rajendra Nagar slum,Adugodi
Venkataswamy Reddy layout,Adugodi
Mallappa Reddy layout,Adugodi
Nanjappa Reddy Layout,Adugodi
K R Nanjappa Layout,Adugodi
NDRI campus,Adugodi
Adugodi (P),Adugodi
Kaveri Sankeerna,Adugodi
Police Quarters,Adugodi
Netravathi 1 to 10 blocks,Adugodi
Nandi Sankeerna 1 to 32 blocks and Tippu blocks,Adugodi
Koramangala 7th block,Adugodi
Ejipura,Ejipura
Gowda Muniswamy Garden,Ejipura
Chandra Reddy Layout,Ejipura
Venkappa Garden,Ejipura
Ashwini Layout,Ejipura
Green Leaf Extension,Ejipura
